GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
CYP2U1-AS1            4  108784635  108899955      3       2  153070      -2.0326      0.97895
LEF1                  4  108968701  109090112      8       4  166722      0.43915      0.33028
LEF1-AS1              4  109088681  109177992     27      13  152899     -0.64532      0.74064
ZACNP1                4  109336376  109337795      2       1  173005      0.34279      0.36588
OSTC                  4  109571740  109588976      1       1   49810     -0.61554       0.7309
COL25A1-DT            4  110224191  110237291      2       1  158135      0.21915      0.41327
SEC24B                4  110354928  110462052      2       1  148700      0.76801      0.22124
CASP6                 4  110609785  110624739      2       1  173005    -0.075738      0.53019
PLA2G12A              4  110631145  110651233      1       1  173005     -0.42532       0.6647
CFI                   4  110661852  110723335      3       1  159253     0.088429      0.46477
EGF                   4  110834040  110933422      2       1  173005     -0.87805      0.81004
ENPEP                 4  111286889  111486441      5       2  118242      0.90482      0.18278
PANCR                 4  111516669  111536614      1       1   42455     -0.41328       0.6603
PITX2                 4  111538579  111563279      1       1  172750      0.10094       0.4598
FAM241A               4  113066553  113116412      3       2  101213       1.9728     0.024261
ALPK1                 4  113206665  113363776      4       2  130465       2.3357    0.0097533
RTEL1P1               4  113277291  113280975      5       2  171534     -0.29638      0.61653
NEUROG2               4  113434672  113437328      2       1  173005      -1.4603       0.9279
NEUROG2-AS1           4  113436541  113468037     10       5  155824      0.73112      0.23235
ZGRF1                 4  113460492  113558151      1       1  173005    -0.076527       0.5305
ANK2                  4  113739265  114304896      7       4  141150     -0.97931      0.83629
AC017007.5            4  113801454  113803486      1       1   87924       1.0577       0.1451
ANK2-AS1              4  113894428  113993118      3       2  160640       1.8141     0.034834
CAMK2D                4  114372188  114683083      2       1  173005      0.19784      0.42158
ARSJ                  4  114821440  114900883      3       1  173005      0.92813      0.17667
UGT8                  4  115519611  115599380      4       1  167489       1.0655      0.14332
CIR1P2                4  115634735  115636076      6       3  155172     -0.93088      0.82404
AC093765.4            4  117641279  117661101      4       2  119097      -1.8136      0.96513
AC093765.3            4  117672629  117873855      3       2  138451      0.13132      0.44776
AC093765.2            4  117675609  117842948      1       1  173005     -0.64798       0.7415
NDST3                 4  118954773  119179803      4       2  173005      0.58582        0.279
SNHG8                 4  119199864  119200978      5       2  173005     -0.43409      0.66789
PRSS12                4  119201193  119274158      2       1  140491        1.758      0.03937
AC110079.1            4  119512928  119554884      1       1   29740      0.63106        0.264
SEC24D                4  119643978  119759838     10       6  171020      -1.0424       0.8514
SYNPO2                4  119809996  119982402      7       3  173005     0.097588      0.46113
MYOZ2                 4  120056939  120108944     24      13  141249     -0.80928      0.79082
USP53                 4  120133742  120216672     18       7  171353     -0.66208      0.74604
C4orf3                4  120218207  120225600      1       1  173005      0.81303       0.2081
PDE5A                 4  120415550  120550146     17       5  168573     -0.49896      0.69109
AC080089.2            4  120607693  120614718     17       9  139861     -0.10614      0.54226
AC073475.1            4  120988113  121485944      2       1  134142       1.1713      0.12074
PRDM5                 4  121606074  121844025      2       1  173005      0.38074       0.3517
AC105254.1            4  121992584  122001631      2       1  173005     -0.20202      0.58005
QRFPR                 4  122250467  122302214      3       2  147251     -0.29943      0.61769
ANXA5                 4  122589110  122618268     11       3  169952      -1.5111      0.93462
TRPC3                 4  122800182  122872909      2       1  134142      -1.5299      0.93698
KIAA1109              4  123073488  123283913      5       3  134384     -0.38358      0.64935
IL2                   4  123372625  123377880      1       1  128479      0.30837       0.3789
FGF2                  4  123747863  123819391      4       2  172698     -0.95816      0.83101
SPRY1                 4  124317950  124324910     24      13  154881      0.13443      0.44653
AC093821.1            4  124411397  124443261     12       6  160638      0.24663       0.4026
LINC02435             4  124426434  124448680     26      14  157926      0.63378      0.26311
LINC01091             4  124571422  124851561      1       1  173005      0.31495       0.3764
RPL21P50              4  124666905  124667381      4       2  170126      0.98236      0.16296
LINC02516             4  125421097  125479589      5       3  158806      0.59472      0.27602
ANKRD50               4  125585207  125633887      8       2  162792      0.37933      0.35222
FAT4                  4  126237554  126414087      7       3  173005         1.95     0.025585
AC097528.1            4  127352849  127656678      5       3  160980      0.42749      0.33451
INTU                  4  128544426  128647892      2       1  172773        0.609      0.27126
ABHD18                4  128886461  128960866      1       1  142800      0.53623       0.2959
